profile_a,profile_b,a_to_b_count,b_to_a_count,total,a_role,b_role
barryflanagan,rupalyadav999,29,7,36,member,member
raahul-seshadri,rupalyadav999,27,9,36,member,member
sanjivberi,sineadmodonovan,27,9,36,member,member
renemadden,sineadmodonovan,12,24,36,member,member
sara-a-riedel,sineadmodonovan,15,21,36,member,member
marcellabremer,melisabuie,15,21,36,member,member
mariaee,mennosiebinga,21,15,36,member,member
nandiitaa,renemadden,25,10,35,member,member
alliestories8,diannewblack,12,23,35,member,member
hasansajid,mahaalaoui,23,12,35,member,member
geezulkifli,karen-stone-performancehabits,13,22,35,member,member
chrismurphyhq,sara-a-riedel,22,13,35,member,member
patrickcattin,paula-beattie-7a89795,21,14,35,member,member
mohammed-kasujee,patrickcattin,21,14,35,member,member
jorgecalzada,sara-a-riedel,20,15,35,member,member
dartarieks,kristaps-kazaks,19,16,35,member,member
mohammed-kasujee,nandiitaa,16,19,35,member,member
geezulkifli,thomasallanjones,17,18,35,member,member
alliestories8,sanjivberi,4,30,34,member,member
charomero,coryblumenfeld,4,30,34,client,operator
kristaps-kazaks,maryam-jan-akbari,10,24,34,member,member
maryam-jan-akbari,mohammed-kasujee,22,12,34,member,member
maryam-jan-akbari,thomasallanjones,21,13,34,member,member
ebonybeckwith,paula-beattie-7a89795,19,15,34,member,member
dartarieks,mahaalaoui,18,16,34,member,member
dartarieks,rupalyadav999,17,17,34,member,member
mariasabio,rupalyadav999,30,3,33,member,member
mitapatel1,tiffanymasson,26,7,33,member,member
patrickcattin,sara-a-riedel,24,9,33,member,member
jeremiah-teo-charisma-business-coach,marcellabremer,24,9,33,member,member
dartarieks,mohammed-kasujee,13,20,33,member,member
bridgett-strickler,jorgecalzada,9,23,32,member,member
patrickcattin,sineadmodonovan,11,21,32,member,member
ebonybeckwith,rupalyadav999,20,12,32,member,member
hasansajid,sara-a-riedel,19,13,32,member,member
dartarieks,marcellabremer,14,18,32,member,member
renemadden,thomasallanjones,18,14,32,member,member
alliestories8,marcellabremer,16,16,32,member,member
mahaalaoui,mitapatel1,3,28,31,member,member
barryflanagan,diannewblack,26,5,31,member,member
alliestories8,geezulkifli,10,21,31,member,member
ionaholloway,paula-beattie-7a89795,21,10,31,member,member
dradeelkhan-md,emilyparcell,11,20,31,client,client
renemadden,rupalyadav999,14,17,31,member,member
anisacela,jorgecalzada,3,27,30,member,member
kristaps-kazaks,mohammed-kasujee,4,26,30,member,member
diannewblack,lingabson,8,22,30,member,member
ebonybeckwith,kristaps-kazaks,22,8,30,member,member
jeremiah-teo-charisma-business-coach,sanjivberi,21,9,30,member,member
lingabson,rupalyadav999,20,10,30,member,member
dartarieks,karen-stone-performancehabits,19,11,30,member,member
mohammed-kasujee,thomasallanjones,18,12,30,member,member
nandiitaa,thomasallanjones,18,12,30,member,member
mohammed-kasujee,paula-beattie-7a89795,18,12,30,member,member
bridgett-strickler,sara-a-riedel,14,16,30,member,member
geezulkifli,melisabuie,8,21,29,member,member
patrickcattin,thomasallanjones,15,14,29,member,member
bridgett-strickler,renemadden,14,15,29,member,member
dartarieks,renemadden,3,25,28,member,member
ionaholloway,tiffanymasson,21,7,28,member,member
diannewblack,mohammed-kasujee,8,20,28,member,member
jeremiah-teo-charisma-business-coach,sara-a-riedel,20,8,28,member,member
bridgett-strickler,nandiitaa,9,19,28,member,member
jeremiah-teo-charisma-business-coach,renemadden,19,9,28,member,member
dartarieks,melisabuie,13,15,28,member,member
marcellabremer,thomasallanjones,13,15,28,member,member
bridgett-strickler,emilyparcell,15,13,28,member,client
nandiitaa,rupalyadav999,24,3,27,member,member
bridgett-strickler,jeremiah-teo-charisma-business-coach,3,24,27,member,member
barryflanagan,bridgett-strickler,20,7,27,member,member
bridgett-strickler,melisabuie,7,20,27,member,member
mariaee,rupalyadav999,19,8,27,member,member
alliestories8,mohammed-kasujee,9,18,27,member,member
mariaee,thomasallanjones,9,18,27,member,member
coryblumenfeld,shanebarker,18,9,27,operator,client
jeremiah-teo-charisma-business-coach,paula-beattie-7a89795,22,4,26,member,member
maryam-jan-akbari,rupalyadav999,19,7,26,member,member
maryam-jan-akbari,tiffanymasson,18,8,26,member,member
paula-beattie-7a89795,renemadden,10,16,26,member,member
marcellabremer,paula-beattie-7a89795,15,11,26,member,member
dartarieks,geezulkifli,14,12,26,member,member
marcellabremer,tiffanymasson,14,12,26,member,member
mahaalaoui,sliwowskik,3,22,25,member,member
karen-stone-performancehabits,maryam-jan-akbari,7,18,25,member,member
bridgett-strickler,ebonybeckwith,9,16,25,member,member
rupalyadav999,sanjivberi,10,15,25,member,member
mariaee,patrickcattin,10,15,25,member,member
kristaps-kazaks,rupalyadav999,11,14,25,member,member
bridgett-strickler,mariasabio,12,13,25,member,member
melisabuie,rupalyadav999,20,4,24,member,member
mennosiebinga,mohammed-kasujee,5,19,24,member,member
ebonybeckwith,sara-a-riedel,8,16,24,member,member
bridgett-strickler,diannewblack,11,13,24,member,member
jorgecalzada,mahaalaoui,20,3,23,member,member
geezulkifli,jeremiah-teo-charisma-business-coach,5,18,23,member,member
jorgecalzada,karen-stone-performancehabits,16,7,23,member,member
alliestories8,mennosiebinga,16,7,23,member,member
coryblumenfeld,dradeelkhan-md,16,7,23,operator,client
maryam-jan-akbari,paula-beattie-7a89795,17,5,22,member,member
jerryvalerio,maryam-jan-akbari,16,6,22,member,member
alliestories8,bridgett-strickler,13,9,22,member,member
charomero,shawnfreeman-,13,9,22,client,member
dartarieks,paula-beattie-7a89795,12,10,22,member,member
